batch,tau_min,cycle,start,hours,p0,p_end,drop,drop_rate,k_single,peq_single,r2_single,orp_depth,orp_rise_rate,orp_tau,pre_orp,pre_ph,ph_mean,orp_mean,keep
2.1 (5min),5.0,4,2026-07-28 12:27:23,6.021,1.17,0.93,0.24,0.03985975272190439,0.0814618477910504,0.6289735545902233,0.9838597435595449,35.0,29.162003191621253,0.4727642483849049,607.0,6.98,6.982905027932961,596.1340782122905,True
2.1 (5min),5.0,5,2026-07-28 19:26:42,7.005,1.16,0.92,0.24,0.034261241970021394,0.05235579966412593,0.46667490633654557,0.9783190799841867,11.266666666666652,4.519995706857325,13.932049259485641,583.0,6.96,6.9663221153846155,598.7379807692307,True
2.1 (5min),5.0,6,2026-07-29 03:25:04,7.055,1.18,0.92,0.26,0.03685184456080947,0.029288697607066507,0.00468532760897528,0.9820807469668269,101.875,-35.64607696031456,8.37274140971052,605.0,6.97,6.9686792452830195,604.2216981132076,True
2.1 (5min),5.0,7,2026-07-29 11:25:25,7.021,1.17,0.93,0.24,0.034181271511650894,0.09168459901300315,0.7257008893768907,0.981302617942289,147.86666666666667,80.0230347157559,1.079630594793961,611.0,7.0,6.970402843601896,592.3601895734597,True
2.1 (5min),5.0,8,2026-07-29 19:25:45,8.023,1.16,0.92,0.24,0.0299158616391399,0.05979429431883435,0.5837055903495484,0.9853148743972405,95.25,-9.500493736537457,13.152116424055809,603.0,6.98,6.961753653444676,603.5970772442589,True
2.1 (5min),5.0,9,2026-07-30 04:25:10,4.687,1.16,0.55,0.61,0.1301564722617354,,,,125.0,28.331762884903114,1.0642561236892474,638.0,6.96,6.955815602836879,607.7765957446809,False
3.1 (10min),10.0,1,2026-07-30 15:16:35,5.937,1.17,0.92,0.25,0.04210723308692803,0.08773574974854959,0.6112614050064568,0.9800926359786006,63.875,33.728723102393516,12.093223171124333,576.0,6.97,6.970084745762711,626.6666666666666,True
3.1 (10min),10.0,2,2026-07-30 21:16:50,6.088,1.16,0.91,0.25,0.04106588793575468,0.03425601130090214,1.750362854018587e-13,0.9718330092559087,94.625,23.89173863639383,0.5204438846889449,662.0,6.97,6.9537741046831965,650.1074380165289,True
3.1 (10min),10.0,3,2026-07-31 04:13:08,6.004,1.17,0.92,0.25,0.04163582531458177,0.034608911104339474,1.6082597878334836e-13,0.9786416201188003,103.16666666666663,25.928634611199328,0.5442089379506584,673.0,6.95,6.958295454545453,649.3068181818181,True
3.1 (10min),10.0,4,2026-07-31 10:14:23,6.004,1.17,0.91,0.26,0.043305265105949835,0.051737136369838864,0.3295256473307032,0.9770755706792029,118.89999999999998,8.336704110991398,1.6151447283477283,657.0,7.0,6.964972067039107,638.3128491620112,True
3.1 (10min),10.0,5,2026-07-31 16:15:38,6.054,1.19,0.92,0.27,0.044597384721266335,0.03352258421257398,6.916135898625967e-08,0.9732626095561153,115.77777777777783,28.19120326616525,0.7009762990241201,664.0,6.94,6.949217877094973,645.1508379888268,True
3.1 (10min),10.0,6,2026-07-31 23:13:54,6.038,1.16,0.92,0.24,0.039746066795473343,0.03284609656060493,1.3202208264391066e-11,0.9759559330350237,139.5454545454545,31.16710889552366,0.5502990165472226,671.0,6.95,6.946183844011143,643.7743732590529,True
3.1 (10min),10.0,7,2026-08-01 05:22:12,6.905,1.17,0.91,0.26,0.03765538882407368,0.08330603081492031,0.6248076046028338,0.9783754726415044,25.600000000000023,9.667306414320894,0.6604954952286306,638.0,6.95,6.9448641975308645,650.3654320987654,True
3.1 (10min),10.0,8,2026-08-01 12:17:31,6.938,1.17,0.92,0.25,0.036033150498458566,0.053052511866039515,0.4338484169044248,0.9824049691993019,75.44444444444446,20.7654441334911,1.2234072087320613,636.0,6.96,6.940759803921568,643.2107843137255,True
3.1 (10min),10.0,9,2026-08-01 19:14:50,7.055,1.17,0.92,0.25,0.035434465923855255,0.029326446425463254,3.259067157605625e-14,0.9780266228104634,160.63636363636363,44.94932974107572,1.2333855643759355,672.0,6.95,6.94021377672209,627.1377672209026,True
3.1 (10min),10.0,10,2026-08-02 02:24:08,6.872,1.18,0.93,0.25,0.036378334680679046,0.13124601636187058,0.7930918670840826,0.9701873457457951,127.66666666666663,25.717873932610452,0.9499244391652342,670.0,6.94,6.939097744360903,634.984962406015,True
3.1 (10min),10.0,11,2026-08-02 10:13:31,7.089,1.17,0.92,0.25,0.035265075819913,0.026970886929303196,2.0158734278396493e-11,0.9730650202852988,177.53846153846155,37.73279383851476,1.244525364338348,664.0,6.93,6.932607655502392,623.1459330143541,True
3.1 (10min),10.0,12,2026-08-02 18:13:54,7.99,1.17,0.91,0.26,0.03254180718283905,0.04141061760816445,0.3711367096887265,0.9784027890901845,140.7,-17.384845299538412,3.59687840239841,616.0,6.93,6.935529661016949,605.9830508474577,True
3.1 (10min),10.0,13,2026-08-03 02:14:16,6.039,1.16,0.96,0.2,0.03312019872119232,0.026008790655197293,1.0101727765887994e-13,0.9660265948953617,139.33333333333331,42.99319696840299,1.1700066188974745,616.0,6.95,6.930220385674931,612.068870523416,False
