batch,cyc,hour,P,r_on,r_off,spike,rebound,d_total
tau1,7,07-26 21,1.0225892857142855,1.200000000000001,0.0,0.020000000000000018,-0.010000000000000009,0.010000000000000009
tau1,7,07-26 22,1.00775,1.200000000000001,0.01111111111111112,0.020000000000000018,-0.010000000000000009,0.010000000000000009
tau1,7,07-26 23,0.992416666666667,1.200000000000001,0.01111111111111112,0.020000000000000018,-0.020000000000000018,0.010000000000000009
tau5,1,07-27 10,1.1126666666666665,0.3600000000000003,0.01200000000000001,0.010000000000000009,-0.010000000000000009,0.039999999999999813
tau5,1,07-27 11,1.073666666666667,0.3600000000000003,0.02400000000000002,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau5,1,07-27 12,1.0351666666666668,0.4800000000000004,0.01200000000000001,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau5,1,07-27 13,1.0029464285714287,0.3600000000000003,0.013043478260869577,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,1,07-27 14,0.9655000000000002,0.4800000000000004,0.01200000000000001,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau5,1,07-27 15,0.9295833333333334,0.359999999999999,0.01200000000000001,0.019999999999999907,-0.010000000000000009,0.029999999999999916
tau5,2,07-27 17,1.1019166666666667,0.3600000000000003,0.023999999999999754,0.020000000000000018,-0.010000000000000009,0.04999999999999982
tau5,2,07-27 18,1.0606666666666666,0.4800000000000004,0.0,0.030000000000000027,-0.010000000000000009,0.040000000000000036
tau5,2,07-27 19,1.0225892857142858,0.4800000000000004,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,2,07-27 20,0.9917499999999999,0.3600000000000003,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,2,07-27 21,0.9605833333333336,0.1200000000000001,0.0,0.010000000000000009,0.0,0.030000000000000027
tau5,3,07-27 23,1.1245535714285715,0.47999999999999776,0.013043478260869577,0.019999999999999796,-0.010000000000000009,0.04999999999999982
tau5,3,07-28 00,1.0859999999999999,0.0,0.02400000000000002,0.0,0.010000000000000009,0.040000000000000036
tau5,3,07-28 01,1.05125,0.1200000000000001,0.0,0.010000000000000009,0.0,0.030000000000000027
tau5,3,07-28 02,1.02,0.0,0.02400000000000002,0.0,0.0,0.040000000000000036
tau5,3,07-28 04,0.9575000000000001,0.3600000000000003,0.02400000000000002,0.020000000000000018,0.0,0.040000000000000036
tau5,4,07-28 06,1.1225,0.47999999999999776,0.01200000000000001,0.019999999999999796,-0.010000000000000009,0.039999999999999813
tau5,4,07-28 07,1.0850000000000002,0.4800000000000004,0.013043478260869577,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau5,4,07-28 08,1.0530833333333334,0.4800000000000004,0.01200000000000001,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,4,07-28 09,1.0208035714285713,0.3600000000000003,0.013043478260869577,0.010000000000000009,-0.020000000000000018,0.030000000000000027
tau5,4,07-28 10,0.9940833333333333,0.4800000000000004,0.01200000000000001,0.020000000000000018,-0.020000000000000018,0.030000000000000027
tau5,4,07-28 11,0.9635833333333336,0.3600000000000003,0.01200000000000001,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,5,07-28 13,1.12175,0.23999999999999755,0.0,0.009999999999999787,-0.010000000000000009,0.029999999999999805
tau5,5,07-28 14,1.080916666666667,0.3600000000000003,0.03600000000000003,0.020000000000000018,-0.010000000000000009,0.050000000000000044
tau5,5,07-28 15,1.0454545454545454,0.3600000000000003,0.0,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau5,5,07-28 16,1.0135833333333333,0.2400000000000002,0.02400000000000002,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau5,5,07-28 17,0.9827499999999998,0.4800000000000004,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,5,07-28 18,0.9525833333333331,0.359999999999999,0.0,0.010000000000000009,-0.009999999999999898,0.030000000000000027
tau5,6,07-28 20,1.1179999999999999,0.35999999999999766,0.0,0.019999999999999796,0.0,0.039999999999999813
tau5,6,07-28 21,1.08375,0.4800000000000004,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,6,07-28 22,1.0530833333333334,0.3600000000000003,0.02400000000000002,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,6,07-28 23,1.0230833333333333,0.3600000000000003,0.01200000000000001,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,6,07-29 00,0.9955833333333335,0.0,0.01200000000000001,0.010000000000000009,0.0,0.030000000000000027
tau5,6,07-29 01,0.9681355932203389,0.0,0.0,0.0,0.0,0.020000000000000018
tau5,7,07-29 04,1.1156666666666666,0.47999999999999776,0.01200000000000001,0.019999999999999796,-0.010000000000000009,0.039999999999999813
tau5,7,07-29 05,1.0820833333333335,0.3600000000000003,0.01200000000000001,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau5,7,07-29 06,1.0515833333333333,0.3600000000000003,0.01200000000000001,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau5,7,07-29 07,1.0222499999999999,0.4800000000000004,0.01200000000000001,0.030000000000000027,-0.010000000000000009,0.030000000000000027
tau5,7,07-29 08,0.9972499999999999,0.2400000000000002,0.01200000000000001,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau5,7,07-29 09,0.961916666666667,0.3600000000000003,0.0,0.020000000000000018,-0.020000000000000018,0.030000000000000027
tau5,7,07-29 10,0.9368333333333332,0.23999999999999888,0.0,0.009999999999999898,-0.010000000000000009,0.019999999999999907
tau5,8,07-29 12,1.1139166666666662,0.35999999999999766,0.0,0.019999999999999796,-0.010000000000000009,0.029999999999999805
tau5,8,07-29 13,1.0779166666666666,0.4800000000000004,0.0,0.030000000000000027,-0.010000000000000009,0.030000000000000027
tau5,8,07-29 14,1.0479166666666666,0.3600000000000003,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,8,07-29 15,1.0212499999999998,0.3600000000000003,0.01200000000000001,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,8,07-29 16,0.9956666666666668,0.3600000000000003,0.0,0.020000000000000018,0.0,0.020000000000000018
tau5,8,07-29 17,0.9689166666666668,0.3600000000000003,0.01200000000000001,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau5,8,07-29 18,0.9454166666666666,0.359999999999999,0.011999999999999877,0.020000000000000018,-0.009999999999999898,0.029999999999999916
tau5,9,07-29 21,1.0899166666666666,0.3600000000000003,0.02400000000000002,0.020000000000000018,-0.020000000000000018,0.030000000000000027
tau5,9,07-29 22,1.0585,0.3600000000000003,0.02400000000000002,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau5,9,07-29 23,1.0296666666666667,0.3600000000000003,0.0,0.030000000000000027,-0.010000000000000009,0.020000000000000018
tau10,1,07-30 10,1.0958333333333334,0.18000000000000016,0.0,0.020000000000000018,-0.010000000000000009,0.020000000000000018
tau10,1,07-30 11,1.0525833333333334,0.30000000000000027,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.050000000000000044
tau10,1,07-30 12,1.017767857142857,0.18000000000000016,0.014634146341463428,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau10,1,07-30 13,0.9876785714285715,0.18000000000000016,0.013953488372093035,0.020000000000000018,0.0,0.040000000000000036
tau10,1,07-30 14,0.9465454545454544,0.18000000000000016,0.014634146341463265,0.010000000000000009,0.0,0.039999999999999925
tau10,2,07-30 16,1.1004999999999998,0.23999999999999888,2.9605947323337506e-16,0.019999999999999796,-0.010000000000000009,0.040000000000000036
tau10,2,07-30 17,1.0579464285714286,0.18000000000000016,0.014634146341463428,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau10,2,07-30 18,1.0206666666666664,0.2400000000000002,0.0,0.030000000000000027,0.0,0.040000000000000036
tau10,2,07-30 19,0.9854166666666664,0.06000000000000005,-0.013333333333333345,0.0,0.0,0.030000000000000027
tau10,2,07-30 20,0.9546666666666667,0.06000000000000005,0.013333333333333345,0.0,0.0,0.040000000000000036
tau10,3,07-30 22,1.1083333333333332,0.06000000000000005,0.0,0.010000000000000009,0.010000000000000009,0.039999999999999813
tau10,3,07-30 23,1.0710833333333334,0.1200000000000001,-0.013333333333333345,0.0,0.0,0.030000000000000027
tau10,3,07-31 00,1.0362500000000001,0.06000000000000005,0.02666666666666669,0.0,0.0,0.050000000000000044
tau10,3,07-31 01,1.0013636363636365,0.30000000000000027,-0.015384615384615398,0.020000000000000018,-0.020000000000000018,0.030000000000000027
tau10,3,07-31 02,0.9664166666666667,0.2400000000000002,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,3,07-31 03,0.9326666666666666,0.2999999999999996,0.02666666666666669,0.029999999999999916,-0.010000000000000009,0.039999999999999925
tau10,4,07-31 05,1.0954166666666665,0.2400000000000002,0.01333333333333305,0.020000000000000018,-0.010000000000000009,0.04999999999999982
tau10,4,07-31 06,1.0567543859649122,0.2400000000000002,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,4,07-31 07,1.021186440677966,0.18000000000000016,0.0272727272727273,0.010000000000000009,-0.010000000000000009,0.040000000000000036
tau10,4,07-31 08,0.9891071428571429,0.1200000000000001,0.029268292682926855,0.020000000000000018,0.0,0.040000000000000036
tau10,4,07-31 09,0.9499166666666664,0.2400000000000002,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,5,07-31 11,1.0971666666666666,0.2400000000000002,0.013333333333333345,0.020000000000000018,-0.020000000000000018,0.040000000000000036
tau10,5,07-31 12,1.0604464285714286,0.18000000000000016,0.014634146341463428,0.010000000000000009,-0.010000000000000009,0.030000000000000027
tau10,5,07-31 13,1.017333333333333,0.2400000000000002,0.0,0.020000000000000018,-0.010000000000000009,0.040000000000000036
tau10,5,07-31 14,0.9837499999999998,0.18000000000000016,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,5,07-31 15,0.9509166666666666,0.23999999999999955,-0.013333333333333345,0.010000000000000009,-0.019999999999999907,0.030000000000000027
tau10,6,07-31 17,1.1079999999999999,0.23999999999999888,0.013333333333333345,0.019999999999999796,-0.010000000000000009,0.039999999999999813
tau10,6,07-31 19,1.0362500000000001,0.2400000000000002,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,6,07-31 20,1.0021666666666667,0.18000000000000016,0.013333333333333345,0.020000000000000018,0.0,0.040000000000000036
tau10,6,07-31 21,0.9679166666666666,0.2400000000000002,0.013333333333333345,0.020000000000000018,-0.010000000000000009,0.030000000000000027
tau10,6,07-31 22,0.9362499999999999,0.23999999999999955,0.0,0.020000000000000018,-0.010000000000000009,0.029999999999999916
tau10,7,08-01 00,1.0960169491525424,0.2400000000000002,0.0,0.020000000000000018,-0.010000000000000009,0.030000000000000027
