資料,lambda,進度u,r_b真值,r_b回收
合成,10.0,0.7288,0.002597,0.000902
合成,10.0,0.7458,0.002506,0.000902
合成,10.0,0.7627,0.002419,0.000902
合成,10.0,0.7797,0.002334,0.000902
合成,10.0,0.7966,0.002252,0.000902
合成,10.0,0.8136,0.002174,0.000902
合成,10.0,0.8305,0.002098,0.000902
合成,10.0,0.8475,0.002024,0.000902
合成,10.0,0.8644,0.001954,0.000902
合成,10.0,0.8814,0.001885,0.000902
合成,10.0,0.8983,0.001819,0.000902
合成,10.0,0.9153,0.001756,0.000902
合成,10.0,0.9322,0.001694,0.000902
合成,10.0,0.9492,0.001635,0.000902
合成,10.0,0.9661,0.001578,0.000902
合成,10.0,0.9831,0.001523,0.000902
合成,10.0,1.0,0.001469,0.000902
真實,0.01,0.0,,0.003255
真實,0.01,0.0169,,0.003274
真實,0.01,0.0339,,0.003294
真實,0.01,0.0508,,0.003315
真實,0.01,0.0678,,0.003336
真實,0.01,0.0847,,0.003359
真實,0.01,0.1017,,0.003381
真實,0.01,0.1186,,0.003405
真實,0.01,0.1356,,0.003429
真實,0.01,0.1525,,0.003454
真實,0.01,0.1695,,0.00348
真實,0.01,0.1864,,0.003506
真實,0.01,0.2034,,0.003532
真實,0.01,0.2203,,0.003559
真實,0.01,0.2373,,0.003587
真實,0.01,0.2542,,0.003615
真實,0.01,0.2712,,0.003643
真實,0.01,0.2881,,0.003672
真實,0.01,0.3051,,0.003702
真實,0.01,0.322,,0.003731
真實,0.01,0.339,,0.003761
真實,0.01,0.3559,,0.003791
真實,0.01,0.3729,,0.003822
真實,0.01,0.3898,,0.003853
真實,0.01,0.4068,,0.003884
真實,0.01,0.4237,,0.003915
真實,0.01,0.4407,,0.003947
真實,0.01,0.4576,,0.003979
真實,0.01,0.4746,,0.004011
真實,0.01,0.4915,,0.004043
真實,0.01,0.5085,,0.004076
真實,0.01,0.5254,,0.004108
真實,0.01,0.5424,,0.004141
真實,0.01,0.5593,,0.004175
真實,0.01,0.5763,,0.004208
真實,0.01,0.5932,,0.004242
真實,0.01,0.6102,,0.004276
真實,0.01,0.6271,,0.00431
真實,0.01,0.6441,,0.004345
真實,0.01,0.661,,0.00438
真實,0.01,0.678,,0.004415
真實,0.01,0.6949,,0.00445
真實,0.01,0.7119,,0.004486
真實,0.01,0.7288,,0.004523
真實,0.01,0.7458,,0.004559
真實,0.01,0.7627,,0.004597
真實,0.01,0.7797,,0.004634
真實,0.01,0.7966,,0.004672
真實,0.01,0.8136,,0.004711
真實,0.01,0.8305,,0.00475
真實,0.01,0.8475,,0.004789
真實,0.01,0.8644,,0.00483
真實,0.01,0.8814,,0.00487
真實,0.01,0.8983,,0.004912
真實,0.01,0.9153,,0.004954
真實,0.01,0.9322,,0.004996
真實,0.01,0.9492,,0.00504
真實,0.01,0.9661,,0.005084
真實,0.01,0.9831,,0.005129
真實,0.01,1.0,,0.005174
真實,0.1,0.0,,0.002152
真實,0.1,0.0169,,0.002151
真實,0.1,0.0339,,0.002151
真實,0.1,0.0508,,0.00215
真實,0.1,0.0678,,0.00215
真實,0.1,0.0847,,0.00215
真實,0.1,0.1017,,0.00215
真實,0.1,0.1186,,0.00215
真實,0.1,0.1356,,0.00215
真實,0.1,0.1525,,0.002151
真實,0.1,0.1695,,0.002151
真實,0.1,0.1864,,0.002152
真實,0.1,0.2034,,0.002153
真實,0.1,0.2203,,0.002154
真實,0.1,0.2373,,0.002155
真實,0.1,0.2542,,0.002156
真實,0.1,0.2712,,0.002158
真實,0.1,0.2881,,0.002159
真實,0.1,0.3051,,0.002161
真實,0.1,0.322,,0.002163
真實,0.1,0.339,,0.002165
真實,0.1,0.3559,,0.002167
真實,0.1,0.3729,,0.002169
真實,0.1,0.3898,,0.002172
真實,0.1,0.4068,,0.002174
真實,0.1,0.4237,,0.002177
真實,0.1,0.4407,,0.00218
真實,0.1,0.4576,,0.002183
真實,0.1,0.4746,,0.002186
真實,0.1,0.4915,,0.002189
真實,0.1,0.5085,,0.002193
真實,0.1,0.5254,,0.002196
真實,0.1,0.5424,,0.0022
真實,0.1,0.5593,,0.002204
真實,0.1,0.5763,,0.002208
真實,0.1,0.5932,,0.002212
真實,0.1,0.6102,,0.002217
真實,0.1,0.6271,,0.002221
真實,0.1,0.6441,,0.002226
真實,0.1,0.661,,0.002231
真實,0.1,0.678,,0.002236
真實,0.1,0.6949,,0.002241
真實,0.1,0.7119,,0.002247
真實,0.1,0.7288,,0.002252
真實,0.1,0.7458,,0.002258
真實,0.1,0.7627,,0.002264
真實,0.1,0.7797,,0.00227
真實,0.1,0.7966,,0.002276
真實,0.1,0.8136,,0.002283
真實,0.1,0.8305,,0.002289
真實,0.1,0.8475,,0.002296
真實,0.1,0.8644,,0.002303
真實,0.1,0.8814,,0.00231
真實,0.1,0.8983,,0.002318
真實,0.1,0.9153,,0.002325
真實,0.1,0.9322,,0.002333
真實,0.1,0.9492,,0.002341
真實,0.1,0.9661,,0.002349
真實,0.1,0.9831,,0.002358
真實,0.1,1.0,,0.002367
真實,1.0,0.0,,0.001458
真實,1.0,0.0169,,0.001456
真實,1.0,0.0339,,0.001455
真實,1.0,0.0508,,0.001453
真實,1.0,0.0678,,0.001452
真實,1.0,0.0847,,0.00145
真實,1.0,0.1017,,0.001449
真實,1.0,0.1186,,0.001448
真實,1.0,0.1356,,0.001447
真實,1.0,0.1525,,0.001446
真實,1.0,0.1695,,0.001445
真實,1.0,0.1864,,0.001444
真實,1.0,0.2034,,0.001443
真實,1.0,0.2203,,0.001442
真實,1.0,0.2373,,0.001441
真實,1.0,0.2542,,0.001441
真實,1.0,0.2712,,0.00144
真實,1.0,0.2881,,0.00144
真實,1.0,0.3051,,0.001439
真實,1.0,0.322,,0.001439
真實,1.0,0.339,,0.001438
真實,1.0,0.3559,,0.001438
真實,1.0,0.3729,,0.001438
真實,1.0,0.3898,,0.001438
真實,1.0,0.4068,,0.001438
真實,1.0,0.4237,,0.001438
真實,1.0,0.4407,,0.001438
真實,1.0,0.4576,,0.001438
真實,1.0,0.4746,,0.001438
真實,1.0,0.4915,,0.001438
真實,1.0,0.5085,,0.001439
真實,1.0,0.5254,,0.001439
真實,1.0,0.5424,,0.001439
